Country Name,Region,IncomeGroup,Year,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",Electric power consumption (kWh per capita),GDP (USD in billions),GDP per capita (USD),Individuals using the Internet (% of population),"Infant mortality rate (per 1,000 live births)",Life expectancy at birth (years),Population density (people per sq. km of land area),Unemployment (% of total labor force) (modeled ILO estimate)
Afghanistan,South Asia,Low income,2018,33.211,6.575,3529.663,19.363,520.897,13.5,47.9,64.13,56.938,1.542
Afghanistan,South Asia,Low income,2017,33.211,6.575,3529.663,20.192,556.302,13.5,49.5,64.13,55.596,1.559
Afghanistan,South Asia,Low income,2016,33.981,6.742,3529.663,19.363,547.228,11.2,51.2,63.763,54.197,1.634
Afghanistan,South Asia,Low income,2015,34.809,6.929,3529.663,19.907,578.466,8.26,53.1,63.377,52.712,1.679
Afghanistan,South Asia,Low income,2014,35.706,7.141,3529.663,20.485,613.856,7.0,55.1,62.966,51.115,1.735
Afghanistan,South Asia,Low income,2013,36.67,7.38,3529.663,20.561,637.165,5.9,57.3,62.525,49.428,1.725
Afghanistan,South Asia,Low income,2012,37.69,7.645,3529.663,20.002,641.872,5.455,59.5,62.054,47.731,1.692
Afghanistan,South Asia,Low income,2011,38.75,7.936,3529.663,17.804,591.162,5.0,61.9,61.553,46.132,1.984
Afghanistan,South Asia,Low income,2010,39.829,8.25,3529.663,15.857,543.303,4.0,64.3,61.028,44.704,2.275
Afghanistan,South Asia,Low income,2009,40.903,8.584,3529.663,12.439,438.076,3.55,66.8,60.484,43.493,2.47
Afghanistan,South Asia,Low income,2008,41.949,8.932,3529.663,10.109,364.66,1.84,69.4,59.93,42.463,2.494
Afghanistan,South Asia,Low income,2007,42.944,9.287,3529.663,9.748,359.693,1.9,72.0,59.375,41.51,2.128
Afghanistan,South Asia,Low income,2006,43.87,9.645,3529.663,6.971,263.734,2.107,74.7,58.826,40.488,2.825
Afghanistan,South Asia,Low income,2005,44.723,10.003,3529.663,6.209,242.031,1.224,77.4,58.29,39.295,2.942
Afghanistan,South Asia,Low income,2004,45.507,10.356,3529.663,5.227,211.382,0.106,80.1,57.772,37.874,3.087
Afghanistan,South Asia,Low income,2003,46.231,10.704,3529.663,4.516,190.684,0.088,82.8,57.271,36.272,3.419
Afghanistan,South Asia,Low income,2002,46.901,11.048,3529.663,4.055,179.426,0.005,85.4,56.784,34.618,3.55
Afghanistan,South Asia,Low income,2001,47.505,11.387,3529.663,4.055,179.426,0.005,88.0,56.308,33.096,3.426
Afghanistan,South Asia,Low income,2000,48.021,11.718,3529.663,4.055,179.426,0.005,90.6,55.841,31.829,3.517
Afghanistan,South Asia,Low income,1999,48.419,12.037,3529.663,4.055,179.426,0.005,93.1,55.376,30.896,3.606
Afghanistan,South Asia,Low income,1998,48.688,12.348,3529.663,4.055,179.426,0.005,95.7,54.906,30.233,3.536
Afghanistan,South Asia,Low income,1997,48.833,12.655,3529.663,4.055,179.426,0.005,98.4,54.424,29.65,3.603
Afghanistan,South Asia,Low income,1996,48.87,12.964,3529.663,4.055,179.426,0.005,101.1,53.924,28.878,3.621
Afghanistan,South Asia,Low income,1995,48.835,13.282,3529.663,4.055,179.426,0.005,104.0,53.398,27.74,3.653
Afghanistan,South Asia,Low income,1994,48.77,13.616,3529.663,4.055,179.426,0.005,107.1,52.842,26.155,3.612
Afghanistan,South Asia,Low income,1993,48.717,13.974,3529.663,4.055,179.426,0.005,110.4,52.256,24.227,3.463
Afghanistan,South Asia,Low income,1992,48.709,14.362,3529.663,4.055,179.426,0.005,113.7,51.641,22.188,3.173
Afghanistan,South Asia,Low income,1991,48.763,14.783,3529.663,4.055,179.426,0.005,117.3,50.999,20.37,2.976
Afghanistan,South Asia,Low income,1990,48.88,15.241,3529.663,4.055,179.426,0.0,121.1,50.331,19.012,2.976
Afghanistan,South Asia,Low income,1989,49.048,15.738,3529.663,4.055,179.426,0.0,125.1,49.64,18.18,2.976
Afghanistan,South Asia,Low income,1988,49.236,16.268,3529.663,4.055,179.426,0.0,129.2,48.93,17.796,2.976
Afghanistan,South Asia,Low income,1987,49.418,16.826,3529.663,4.055,179.426,0.0,133.3,48.211,17.775,2.976
Afghanistan,South Asia,Low income,1986,49.586,17.406,3529.663,4.055,179.426,0.0,137.5,47.486,17.977,2.976
Afghanistan,South Asia,Low income,1985,49.735,18.005,3529.663,4.055,179.426,0.0,141.6,46.761,18.286,2.976
Afghanistan,South Asia,Low income,1984,49.865,18.618,3529.663,4.055,179.426,0.0,145.7,46.04,18.694,2.976
Afghanistan,South Asia,Low income,1983,49.984,19.24,3529.663,4.055,179.426,0.0,149.8,45.324,19.204,2.976
Afghanistan,South Asia,Low income,1982,50.098,19.865,3529.663,4.055,179.426,0.0,154.1,44.617,19.732,2.976
Afghanistan,South Asia,Low income,1981,50.21,20.49,3529.663,3.479,264.111,0.0,158.4,43.923,20.175,2.976
Afghanistan,South Asia,Low income,1980,50.321,21.109,3529.663,3.642,272.655,0.0,162.7,43.244,20.458,2.976
Albania,Europe & Central Asia,Upper middle income,2018,11.934,7.714,2309.37,15.059,5253.63,71.847,7.8,78.333,104.612,13.898
Albania,Europe & Central Asia,Upper middle income,2017,11.934,7.714,2309.37,13.025,4532.89,71.847,8.0,78.333,104.871,13.75
Albania,Europe & Central Asia,Upper middle income,2016,12.08,7.534,2309.37,11.861,4124.11,66.363,8.2,78.194,104.967,15.22
Albania,Europe & Central Asia,Upper middle income,2015,12.197,7.367,2309.37,11.387,3952.83,63.253,8.5,78.025,105.135,17.08
Albania,Europe & Central Asia,Upper middle income,2014,12.259,7.219,2309.37,13.228,4578.67,60.1,8.9,77.813,105.442,17.49
Albania,Europe & Central Asia,Upper middle income,2013,12.257,7.096,2533.25,12.776,4413.08,57.2,9.5,77.554,105.66,15.866
Albania,Europe & Central Asia,Upper middle income,2012,12.197,6.996,2118.33,12.32,4247.61,54.656,10.2,77.252,105.854,13.376
Albania,Europe & Central Asia,Upper middle income,2011,12.1,6.915,2205.7,12.891,4437.18,49.0,11.0,76.914,106.029,13.481
Albania,Europe & Central Asia,Upper middle income,2010,12.001,6.841,1943.34,11.927,4094.36,45.0,11.9,76.562,106.315,14.086
Albania,Europe & Central Asia,Upper middle income,2009,11.945,6.756,1835.68,12.044,4114.13,41.2,12.9,76.221,106.844,13.674
Albania,Europe & Central Asia,Upper middle income,2008,11.973,6.65,1617.74,12.881,4370.54,23.86,13.9,75.912,107.566,13.06
